Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
1572,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1479,NA,F,15,Rita Wagner
1573,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1479,NA,M,1,Rita Wagner
1573,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1479,NA,M,1,Rita Wagner
1574,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1481,NA,DD,5,Rita Wagner
1574,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1481,NA,DD,5,Rita Wagner
1575,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1481,NA,Q,43,Rita Wagner
1575,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1481,NA,Q,43,Rita Wagner
1576,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1488,NA,F,36,Rita Wagner
1576,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1488,NA,F,36,Rita Wagner
1577,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1488,NA,H,1,Rita Wagner
1577,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1488,NA,H,1,Rita Wagner
1578,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1502,NA,DD,37,Rita Wagner
1578,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1502,NA,DD,37,Rita Wagner
1579,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1503,NA,A,41,Rita Wagner
1579,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1503,NA,A,41,Rita Wagner
1580,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1503,NA,Q,17,Rita Wagner
1580,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1503,NA,Q,17,Rita Wagner
1581,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1526,NA,A,14,Rita Wagner
1581,2,2011,171,last_flowering,3,2011-06-20,MALE,PGTIS,220,1526,NA,A,14,Rita Wagner
1582,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1526,NA,DD,35,Rita Wagner
1582,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1526,NA,DD,35,Rita Wagner
1582,3,2011,171,past_flowering,4,2011-06-20,MALE,PGTIS,220,1526,NA,DD,35,Rita Wagner
1583,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1528,NA,B,3,Rita Wagner
1583,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1528,NA,B,3,Rita Wagner
1583,3,2011,171,past_flowering,4,2011-06-20,MALE,PGTIS,220,1528,NA,B,3,Rita Wagner
1584,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1528,NA,DD,1,Rita Wagner
1584,2,2011,171,last_flowering,3,2011-06-20,MALE,PGTIS,220,1528,NA,DD,1,Rita Wagner
1585,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1531,NA,A,30,Rita Wagner
1585,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1531,NA,A,30,Rita Wagner
1586,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1531,NA,B,47,Rita Wagner
1586,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1531,NA,B,47,Rita Wagner
1587,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1542,NA,C,5,Rita Wagner
1587,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1542,NA,C,5,Rita Wagner
1587,3,2011,171,past_flowering,4,2011-06-20,MALE,PGTIS,220,1542,NA,C,5,Rita Wagner
1588,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1542,NA,C,35,Rita Wagner
1588,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1542,NA,C,35,Rita Wagner
1588,3,2011,171,past_flowering,4,2011-06-20,MALE,PGTIS,220,1542,NA,C,35,Rita Wagner
1589,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1557,NA,DD,24,Rita Wagner
