"Orchard","Clone","X","Y","receptive20","pollenshed20","receptive80","pollenshed80","pickdate","total_cone_weight_kg","thirty_cone_weight_g","Site"
"237","1616","23","107",NA,NA,NA,NA,NA,NA,NA,"KettleRiver"
"237","4199","20","60",2010-05-27,2010-05-27,2010-05-31,2010-06-02,2010-09-02,NA,NA,"KettleRiver"
"237","4197","22","102",NA,NA,NA,NA,NA,NA,NA,"KettleRiver"
"237","9004","23","102",2010-05-27,NA,2010-05-31,NA,2010-09-02,NA,NA,"KettleRiver"
"237","4196","23","62",2010-05-24,2010-05-25,2010-05-27,2010-05-30,2010-09-02,NA,NA,"KettleRiver"
"237","328","23","61",2010-05-27,NA,2010-05-30,NA,2010-09-02,NA,NA,"KettleRiver"
"237","1673","24","54",2010-05-27,2010-05-27,2010-06-01,2010-06-03,2010-09-02,NA,NA,"KettleRiver"
"237","1804","27","32",2010-05-25,2010-05-24,2010-05-28,2010-06-01,2010-09-02,NA,NA,"KettleRiver"
"338","849","ZA","70",2010-05-12,2010-05-13,2010-05-17,2010-05-16,NA,0.96,0.335,"PRT"
"338","1766","ZA","62",2010-05-14,2010-05-12,2010-05-18,2010-05-16,NA,3.04,0.27,"PRT"
"338","1351","W","43",2010-05-13,2010-05-13,2010-05-16,2010-05-17,NA,3.15,0.33,"PRT"
"338","1201","W","33",2010-05-11,2010-05-13,2010-05-15,2010-05-15,NA,2.75,0.245,"PRT"
"338","1361","U","27",2010-05-15,2010-05-12,2010-05-18,2010-05-15,NA,0.97,0.16,"PRT"
"338","1362","Q","19",2010-05-12,2010-05-11,2010-05-17,2010-05-15,NA,3.19,0.37,"PRT"
"338","1053","L","27",2010-05-14,2010-05-13,2010-05-17,2010-05-16,NA,0.51,0.23,"PRT"
"338","1376","L","42",2010-05-13,2010-05-15,2010-05-16,2010-05-19,NA,1.43,0.29,"PRT"
"338","1450","E","54",2010-05-16,2010-05-14,2010-05-20,2010-05-18,NA,0.66,0.15,"PRT"
"338","4425","E","53",2010-05-13,2010-05-14,2010-05-16,2010-05-16,NA,1.3,0.3,"PRT"
"338","789","D","48",2010-05-13,2010-05-14,2010-05-17,2010-05-17,NA,3.19,0.36,"PRT"
"338","865","C","45",2010-05-14,2010-05-15,2010-05-18,2010-05-18,NA,1.86,0.57,"PRT"
"338","1365","D","45",2010-05-13,2010-05-15,2010-05-16,2010-05-19,NA,5.61,0.34,"PRT"
"338","1373","E","41",2010-05-15,2010-05-14,2010-05-18,2010-05-18,NA,4.56,0.315,"PRT"
"338","1770","D","25",2010-05-21,2010-05-21,2010-05-24,2010-05-24,NA,5.62,0.34,"PRT"
"240","346","10","88",2010-05-15,2010-05-14,2010-05-18,2010-05-18,NA,0.79,0.185,"Sorrento"
"240","483","10","103",2010-05-11,2010-05-12,2010-05-16,2010-05-17,NA,1.3,0.26,"Sorrento"
"240","422","14","87",2010-05-14,2010-05-15,2010-05-17,2010-05-19,NA,1.59,0.32,"Sorrento"
"240","491","16","65",2010-05-12,2010-05-15,2010-05-16,2010-05-19,NA,0.57,0.19,"Sorrento"
"240","1618","17","38",2010-05-14,2010-05-15,2010-05-18,2010-05-20,NA,1.62,0.36,"Sorrento"
"240","4322","19","61",2010-05-18,2010-05-18,2010-05-22,2010-05-22,NA,0.81,0.245,"Sorrento"
"240","1799","20","50",2010-05-14,2010-05-16,2010-05-18,2010-05-20,NA,0.495,0.24,"Sorrento"
"240","499","21","19",2010-05-14,2010-05-16,2010-05-17,2010-05-20,NA,0.925,0.16,"Sorrento"
"240","4083","22","68",2010-05-13,2010-05-13,2010-05-16,2010-05-17,NA,0.735,0.265,"Sorrento"
"240","4081","23","17",2010-05-13,2010-05-16,2010-05-17,2010-05-20,NA,1.36,0.245,"Sorrento"
"240","4324","25","18",2010-05-13,2010-05-14,2010-05-16,2010-05-18,NA,0.445,0.25,"Sorrento"
"240","4321","28","10",2010-05-13,2010-05-13,2010-05-16,2010-05-17,NA,0.425,0.295,"Sorrento"
"240","1795","28","39",2010-05-11,2010-05-11,2010-05-18,2010-05-19,NA,0.515,0.28,"Sorrento"
"240","4117","28","79",2010-05-13,2010-05-14,2010-05-17,2010-05-18,NA,0.89,0.325,"Sorrento"
"240","1794","30","94",2010-05-12,2010-05-12,2010-05-16,2010-05-18,NA,1.645,0.27,"Sorrento"
"339","778","36","3",2010-05-15,2010-05-14,2010-05-21,2010-05-21,2010-08-05,2.04,209,"Tolko"
"339","781","35","5",2010-05-13,2010-05-12,2010-05-17,2010-05-18,2010-08-05,2.82,231.5,"Tolko"
"339","801","36","9",2010-05-17,2010-05-16,2010-05-24,2010-05-24,2010-08-05,2.82,228.5,"Tolko"
"339","824","36","29",2010-05-15,2010-05-15,2010-05-19,2010-05-20,2010-08-05,3.46,262.5,"Tolko"
"339","858","36","17",2010-05-15,2010-05-14,2010-05-19,2010-05-19,2010-08-05,1.68,205,"Tolko"
"339","862","35","12",2010-05-13,2010-05-14,2010-05-19,2010-05-18,2010-08-05,3.62,336.8,"Tolko"
"339","887","35","39",2010-05-13,2010-05-11,2010-05-18,2010-05-18,2010-08-05,1.98,348.6,"Tolko"
"339","1046","35","6",2010-05-17,2010-05-16,2010-05-24,2010-05-24,2010-08-05,4.46,533.6,"Tolko"
"339","1072","35","15",2010-05-17,2010-05-18,2010-05-23,2010-05-23,2010-08-05,4.16,253.2,"Tolko"
"339","1083","34","25",2010-05-15,2010-05-16,2010-05-20,2010-05-20,2010-08-05,3.68,335.3,"Tolko"
"339","1089","36","18",2010-05-13,2010-05-12,2010-05-18,2010-05-16,2010-08-05,2.1,295,"Tolko"
"339","1094","35","13",2010-05-16,2010-05-16,2010-05-23,2010-05-22,2010-08-05,0.19,190.1,"Tolko"
"339","1101","36","8",2010-05-17,2010-05-16,2010-05-23,2010-05-21,2010-08-05,5.44,280.5,"Tolko"
"339","1127","36","7",2010-05-16,2010-05-12,2010-05-20,2010-05-20,2010-08-05,1.72,205.4,"Tolko"
"339","1151","35","33",2010-05-18,2010-05-18,2010-05-24,2010-05-24,2010-08-05,2.76,340.9,"Tolko"
